age fci
1.75 84
3.58 100
3.58 100
3.58 100
10.01 64
10.42 96
8.01 87
10.01 67
10.01 60
3.67 85
10.01 62
9.42 100
3.67 76
9.42 100
3.67 74
3.67 91
1 100
3.42 91
3.67 30
3.67 14
3 65
3.67 86
3 83
1 100
3.67 75
9.42 100
9.42 68
1 60
1 88
1 65
1 64
8.59 65
8.59 50
8.59 26
8.59 58
8.64 49
8.59 57
8.59 51
8.72 76
8.64 44
8.63 69
8.63 67
8.63 72
8.63 72
8.63 58
8.63 67
8.64 82
8.64 51
8.64 54
8.64 52
8.63 63
8.63 69
8.63 68
8.64 77
8.64 53
8.64 51
8.64 28
8.64 58
8.64 79
8.64 75
3.25 100
3.25 100
3.25 100
3.25 100
3.25 100
3.25 100
5.25 100
2.25 100
2.25 100
2.25 100
5.25 100
5.25 100
1.67 85
8.67 82
10.01 89
10.01 100
7.01 100
9.01 82
7.01 100
7.01 90
9.01 64
9.01 66
7.01 100
9.01 66
9.01 100
9.01 100
14.01 100
9.01 97
10.01 89
10.01 88
9.01 58
10.01 96
10.01 100
10.01 95
9.01 94
10.01 100
15.01 100
15.01 100
10.01 81
15.01 100
1 92
15.01 95
15.01 100
15.01 90
15.01 82
15.01 82
15.01 100
15.01 100
15.01 88
15.01 100
10.01 100
10.01 100
10.01 100
2 94
10.01 100
10.01 88
10.01 100
2 100
10.01 100
10.01 3
9.01 100
6.01 100
10.01 86
10.01 100
9.01 57
6.01 100
9.01 100
6.01 100
10.01 100
4.67 100
2.67 90
1.67 87
4.67 100
3.33 95
4.67 100
4.67 100
2.67 81
4.67 90
8.55 85
8.54 81
4.08 74
3.04 60
4.08 82
0.05 100
0.05 97
0.08 100
0.08 97
0.05 100
2.11 100
2.11 76
2.11 74
1.06 98
1.06 93
